"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bulgarie","BGR","Prévalence de la malnutrition, poids selon l’âge (% des enfants de mois de 5 ans)","SH.STA.MALN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","3.7","","","","","","","1.6","","","","","","","","",
"Bahreïn","BHR","Prévalence de la malnutrition, poids selon l’âge (% des enfants de mois de 5 ans)","SH.STA.MALN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3","","","","","","7.6","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas","BHS","Prévalence de la malnutrition, poids selon l’âge (% des enfants de mois de 5 ans)","SH.STA.MALN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnie-Herzégovine","BIH","Prévalence de la malnutrition, poids selon l’âge (% des enfants de mois de 5 ans)","SH.STA.MALN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.2","","","","","","1.6","","","","","","1.6","","","","","","","","","","",
"Bélarus","BLR","Prévalence de la malnutrition, poids selon l’âge (% des enfants de mois de 5 ans)","SH.STA.MALN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Prévalence de la malnutrition, poids selon l’âge (% des enfants de mois de 5 ans)","SH.STA.MALN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.4","","","","","","","","","","","","","","5","","","","","6.2","","","","4.6","","","","","","","",
"Bermudes","BMU","Prévalence de la malnutrition, poids selon l’âge (% des enfants de mois de 5 ans)","SH.STA.MALN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivie","BOL","Prévalence de la malnutrition, poids selon l’âge (% des enfants de mois de 5 ans)","SH.STA.MALN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.8","8.5","9.7","10.2","10.5","","12.4","","","","5.9","","","","","5.8","","","","","4.5","","","","3.6","","","","3.4","","","","","","",
"Brésil","BRA","Prévalence de la malnutrition, poids selon l’âge (% des enfants de mois de 5 ans)","SH.STA.MALN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.6","","","","","","","4.5","","","","","","","","","","","2.2","","","","","","","","","","","","3.1","","","",
"Barbade","BRB","Prévalence de la malnutrition, poids selon l’âge (% des enfants de mois de 5 ans)","SH.STA.MALN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","","","","","","","","","","",
