"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Botswana","BWA","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87","","","",
"République centrafricaine","CAF","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","184","","","",
"Canada","CAN","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","","",
"Europe centrale et les pays baltes","CEB","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Suisse","CHE","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","","","",
"Îles Anglo-Normandes","CHI","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chili","CHL","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59","","","",
"Chine","CHN","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","","","",
"Côte d'Ivoire","CIV","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110","","","",
"Cameroun","CMR","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","167","","","",
"Congo, République démocratique du","COD","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","183","","","",
"Congo, République du","COG","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180","","","",
"Colombie","COL","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67","","","",
"Comores","COM","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160","","","",
"Cabo Verde","CPV","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","137","","","",
"Costa Rica","CRI","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74","","","",
"Petits états des Caraïbes","CSS","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Indice de la facilité de faire des affaires (1=réglementations les plus favorables aux entreprises)","IC.BUS.EASE.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
